Electoral District,Name,Party,Email,,
Saanich North and the Islands,Adam Olsen,BC Green,Adam.Olsen.MLA@leg.bc.ca,,
Parksville-Qualicum,Adam Walker,BC NDP,Adam.Walker.mla@leg.bc.ca,,
Langley,Andrew Mercier,BC NDP,Andrew.Mercier.mla@leg.bc.ca,,
Vancouver-Quilchena,Andrew Wilkinson,BC Liberal,andrew.wilkinson.MLA@leg.bc.ca,,
Kelowna West,Ben Stewart,BC Liberal,Ben.Stewart.MLA@leg.bc.ca,,
Maple Ridge-Mission,Bob D'Eith,BC NDP,Bob.Deith.MLA@leg.bc.ca,,
North Vancouver-Lonsdale,Bowinn Ma,BC NDP,bowinn.ma.mla@leg.bc.ca,,
Vancouver-False Creek,Brenda Bailey,BC NDP,BrendaBailey.mla@leg.bc.ca,,
Nelson-Creston,Brittny Anderson,BC NDP,Brittny.Anderson.mla@leg.bc.ca,,
Abbotsford South,Bruce Banman,BC Liberal,bruce.banman.MLA@leg.bc.ca,,
Cariboo North,Coralee Oakes,BC Liberal,Coralee.Oakes.MLA@leg.bc.ca,,
Penticton,Dan Ashton,BC Liberal,Dan.Ashton.MLA@leg.bc.ca,,
Chilliwack,Dan Coulter,BC NDP,Dan.Coulter.mla@leg.bc.ca,,
Peace River North,Dan Davies,BC Liberal,Dan.Davies.MLA@leg.bc.ca,,
Columbia River-Revelstoke,Doug Clovechok,BC Liberal,Doug.Clovechok.MLA@leg.bc.ca,,
Nanaimo-North Cowichan,Doug Routley,BC NDP,doug.routley.mla@leg.bc.ca,,
Skeena,Ellis Ross,BC Liberal,Ellis.Ross.MLA@leg.bc.ca,,
Coquitlam-Burke Mountain,Fin Donnelly,BC NDP,Fin.Donnelly.mla@leg.bc.ca,,
Surrey-Guildford,Garry Begg,BC NDP,garry.begg.mla@leg.bc.ca,,
Vancouver-Fraserview,George Chow,BC NDP,george.chow.mla@leg.bc.ca,,
Victoria-Beacon Hill,Grace Lore,BC NDP,grace.lore@bcndp.ca,,
Shuswap,Greg Kyllo,BC Liberal,Greg.Kyllo.MLA@leg.bc.ca,,
Vernon-Monashee,Harwinder Sandhu,BC NDP,Harwinder.Sandhu.mla@leg.bc.ca,,
Richmond South Centre,Henry Yao,BC NDP,Henry.Yao.mla@leg.bc.ca,,
Vancouver-Kingsway,Hon. Adrian Dix,BC NDP,adrian.dix.mla@leg.bc.ca,,
Burnaby-Deer Lake,Hon. Anne Kang,BC NDP,anne.kang.mla@leg.bc.ca,,
Surrey-Whalley,Hon. Bruce Ralston,BC NDP,bruce.ralston.mla@leg.bc.ca,,
Vancouver-Point Grey,Hon. David R. P. Eby,BC NDP,david.eby.mla@leg.bc.ca,,
Vancouver-Fairview,Hon. George Heyman,BC NDP,george.heyman.mla@leg.bc.ca,,
Surrey-Newton,Hon. Harry Bains,BC NDP,harry.bains.mla@leg.bc.ca,,
New Westminster,Hon. Jennifer Whiteside,BC NDP,Jennifer.Whiteside.mla@leg.bc.ca,,
Langford-Juan De Fuca,Hon. John Horgan,BC NDP,john.horgan.mla@leg.bc.ca,,
Mid Island-Pacific Rim,Hon. Josie Osborne,BC NDP,Josie.Osborne.mla@leg.bc.ca,,
Kootenay West,Hon. Katrine Conroy,BC NDP,katrine.conroy.mla@leg.bc.ca,,
Saanich South,Hon. Lana Popham,BC NDP,lana.popham.mla@leg.bc.ca,,
Maple Ridge-Pitt Meadows,Hon. Lisa Beare,BC NDP,lisa.beare.mla@leg.bc.ca,,
Vancouver-Mount Pleasant,Hon. Melanie Mark,BC NDP,melanie.mark.mla@leg.bc.ca,,
Port Coquitlam,Hon. Mike Farnworth,BC NDP,mike.farnworth.mla@leg.bc.ca,,
Esquimalt-Metchosin,Hon. Mitzi Dean,BC NDP,mitzi.dean.mla@leg.bc.ca,,
Oak Bay-Gordon Head,Hon. Murray Rankin,BC NDP,Murray.Rankin.mla@leg.bc.ca,,
Powell River-Sunshine Coast,Hon. Nicholas Simons,BC NDP,nicholas.simons.mla@leg.bc.ca,,
Delta North,Hon. Ravi Kahlon,BC NDP,ravi.kahlon.mla@leg.bc.ca,,
Victoria-Swan Lake,Hon. Rob Fleming,BC NDP,rob.fleming.mla@leg.bc.ca,,
